index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
0|anger|anger|1424.0|6913.0|0.20598871691016923|0.34160969173563627|['emotion', 'emotion_nrc']|||||||||
1|anger|fear|219.0|4743.0|0.046173308032890575|0.08827085852478839|['emotion', 'emotion_nrc']|||||||||
2|anger|joy|288.0|7781.0|0.037013237373088294|0.07138431032346017|['emotion', 'emotion_nrc']|||||||||
3|anger|none|0.0|2709.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
4|anger|sadness|140.0|4562.0|0.030688294607628234|0.05954912803062526|['emotion', 'emotion_nrc']|||||||||
5|anger|surprise|41.0|2987.0|0.013726146635420154|0.027080581241743725|['emotion', 'emotion_nrc']|||||||||
6|fear|anger|714.0|7287.0|0.09798270893371758|0.1784776902887139|['emotion', 'emotion_nrc']|||||||||
7|fear|fear|705.0|3921.0|0.17980107115531752|0.304798962386511|['emotion', 'emotion_nrc']|||||||||
8|fear|joy|238.0|7495.0|0.03175450300200133|0.06155437734385103|['emotion', 'emotion_nrc']|||||||||
9|fear|none|0.0|2373.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
10|fear|sadness|192.0|4174.0|0.04599904168663153|0.08795235913879981|['emotion', 'emotion_nrc']|||||||||
11|fear|surprise|37.0|2655.0|0.013935969868173258|0.0274888558692422|['emotion', 'emotion_nrc']|||||||||
12|joy|anger|1177.0|11212.0|0.10497681056011417|0.1900072645088385|['emotion', 'emotion_nrc']|||||||||
13|joy|fear|407.0|8607.0|0.04728709190194028|0.09030397159973375|['emotion', 'emotion_nrc']|||||||||
14|joy|joy|3231.0|8890.0|0.36344206974128235|0.5331243296757693|['emotion', 'emotion_nrc']|||||||||
15|joy|none|0.0|6761.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
16|joy|sadness|233.0|8521.0|0.02734420842624105|0.05323280785926434|['emotion', 'emotion_nrc']|||||||||
17|joy|surprise|115.0|6965.0|0.016511127063890883|0.03248587570621469|['emotion', 'emotion_nrc']|||||||||
18|love|anger|301.0|6968.0|0.04319747416762342|0.08281744394001928|['emotion', 'emotion_nrc']|||||||||
19|love|fear|194.0|3700.0|0.05243243243243243|0.09964047252182846|['emotion', 'emotion_nrc']|||||||||
20|love|joy|694.0|6307.0|0.11003646741715555|0.19825739180117127|['emotion', 'emotion_nrc']|||||||||
21|love|none|0.0|1641.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
22|love|sadness|86.0|3548.0|0.024239007891770012|0.04733076499724821|['emotion', 'emotion_nrc']|||||||||
23|love|surprise|19.0|1941.0|0.009788768675940238|0.01938775510204082|['emotion', 'emotion_nrc']|||||||||
24|sadness|anger|1837.0|9588.0|0.1915936587400918|0.32157549234135674|['emotion', 'emotion_nrc']|||||||||
25|sadness|fear|658.0|7392.0|0.08901515151515152|0.1634782608695652|['emotion', 'emotion_nrc']|||||||||
26|sadness|joy|779.0|10378.0|0.0750626324918096|0.13964327328134804|['emotion', 'emotion_nrc']|||||||||
27|sadness|none|0.0|5797.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
28|sadness|sadness|1270.0|6520.0|0.19478527607361965|0.32605905006418484|['emotion', 'emotion_nrc']|||||||||
29|sadness|surprise|55.0|6061.0|0.009074410163339383|0.01798561151079137|['emotion', 'emotion_nrc']|||||||||
30|surprise|anger|175.0|6172.0|0.028353856124432922|0.05514416259650228|['emotion', 'emotion_nrc']|||||||||
31|surprise|fear|70.0|2902.0|0.024121295658166782|0.04710632570659489|['emotion', 'emotion_nrc']|||||||||
32|surprise|joy|130.0|5949.0|0.021852412170112624|0.042770192465866094|['emotion', 'emotion_nrc']|||||||||
33|surprise|none|0.0|719.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
34|surprise|sadness|72.0|2640.0|0.02727272727272727|0.053097345132743355|['emotion', 'emotion_nrc']|||||||||
35|surprise|surprise|52.0|986.0|0.05273833671399594|0.1001926782273603|['emotion', 'emotion_nrc']|||||||||
36|anger||||||['emotion', 'liwc']|negate|840.0|7425.0|0.11313131313131314|0.20326678765880218||||
37|anger||||||['emotion', 'liwc']|social|2676.0|19830.0|0.13494704992435702|0.23780325246600903||||
38|anger||||||['emotion', 'liwc']|family|112.0|3477.0|0.03221167673281564|0.06241292839230984||||
39|anger||||||['emotion', 'liwc']|friend|160.0|3790.0|0.04221635883905013|0.0810126582278481||||
40|anger||||||['emotion', 'liwc']|humans|2048.0|15772.0|0.12985036774029926|0.22985409652076316||||
41|anger||||||['emotion', 'liwc']|affect|2586.0|19212.0|0.13460337289194255|0.23726947426369396||||
42|anger||||||['emotion', 'liwc']|posemo|1436.0|15112.0|0.09502382212811011|0.17355571670292483||||
43|anger||||||['emotion', 'liwc']|negemo|2418.0|13663.0|0.17697431018078022|0.3007275666936136||||
44|anger||||||['emotion', 'liwc']|anx|936.0|7601.0|0.12314169188264702|0.219280777790793||||
45|anger||||||['emotion', 'liwc']|anger|1640.0|6572.0|0.24954351795496044|0.39941548952752076||||
46|anger||||||['emotion', 'liwc']|sad|803.0|7900.0|0.10164556962025316|0.1845340687119384||||
47|anger||||||['emotion', 'liwc']|cogmech|2702.0|19986.0|0.13519463624537176|0.2381875881523272||||
48|anger||||||['emotion', 'liwc']|insight|2570.0|19216.0|0.1337427144046628|0.2359313320481043||||
49|anger||||||['emotion', 'liwc']|cause|1310.0|10749.0|0.12187180202809564|0.21726511319346548||||
50|anger||||||['emotion', 'liwc']|discrep|2528.0|19062.0|0.13261987199664255|0.23418249189439558||||
51|anger||||||['emotion', 'liwc']|tentat|2042.0|15946.0|0.12805719302646432|0.2270402490549255||||
52|anger||||||['emotion', 'liwc']|certain|678.0|6957.0|0.09745579991375593|0.17760314341846759||||
53|anger||||||['emotion', 'liwc']|inhib|1129.0|10531.0|0.10720729275472415|0.19365351629502575||||
54|anger||||||['emotion', 'liwc']|incl|2259.0|17246.0|0.1309868955120028|0.2316329146372725||||
55|anger||||||['emotion', 'liwc']|excl|1905.0|14708.0|0.1295213489257547|0.22933846987299106||||
56|anger||||||['emotion', 'liwc']|percept|2476.0|18618.0|0.13298957997636696|0.23475869915615816||||
57|anger||||||['emotion', 'liwc']|see|408.0|5370.0|0.07597765363128492|0.14122533748701974||||
58|anger||||||['emotion', 'liwc']|hear|474.0|5541.0|0.08554412560909583|0.15760598503740647||||
59|anger||||||['emotion', 'liwc']|feel|2292.0|17572.0|0.13043478260869565|0.23076923076923078||||
60|anger||||||['emotion', 'liwc']|bio|1589.0|13287.0|0.11959057725596448|0.2136326969615488||||
