index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
0|anger|anger|419.0|2266.0|0.1849073256840247|0.3121042830540037|['emotion', 'emotion_nrc']|||||||||
1|anger|disgust|40.0|1585.0|0.025236593059936908|0.049230769230769224|['emotion', 'emotion_nrc']|||||||||
2|anger|fear|67.0|1957.0|0.0342360756259581|0.06620553359683795|['emotion', 'emotion_nrc']|||||||||
3|anger|joy|217.0|2554.0|0.08496476115896633|0.15662215806568025|['emotion', 'emotion_nrc']|||||||||
4|anger|none|0.0|1086.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
5|anger|sadness|74.0|1738.0|0.04257767548906789|0.08167770419426049|['emotion', 'emotion_nrc']|||||||||
6|disgust|anger|263.0|2411.0|0.10908336789713811|0.19670905011219147|['emotion', 'emotion_nrc']|||||||||
7|disgust|disgust|146.0|1468.0|0.0994550408719346|0.1809169764560099|['emotion', 'emotion_nrc']|||||||||
8|disgust|fear|107.0|1906.0|0.05613850996852046|0.10630899155489318|['emotion', 'emotion_nrc']|||||||||
9|disgust|joy|184.0|2576.0|0.07142857142857142|0.13333333333333333|['emotion', 'emotion_nrc']|||||||||
10|disgust|none|0.0|1075.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
11|disgust|sadness|51.0|1750.0|0.029142857142857144|0.05663520266518601|['emotion', 'emotion_nrc']|||||||||
12|fear|anger|218.0|2468.0|0.08833063209076175|0.16232315711094564|['emotion', 'emotion_nrc']|||||||||
13|fear|disgust|43.0|1583.0|0.027163613392293114|0.05289052890528906|['emotion', 'emotion_nrc']|||||||||
14|fear|fear|354.0|1671.0|0.2118491921005386|0.3496296296296296|['emotion', 'emotion_nrc']|||||||||
15|fear|joy|88.0|2684.0|0.03278688524590164|0.06349206349206349|['emotion', 'emotion_nrc']|||||||||
16|fear|none|0.0|1087.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
17|fear|sadness|129.0|1684.0|0.07660332541567696|0.14230557087699944|['emotion', 'emotion_nrc']|||||||||
