index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
0|anger|anger|590.0|4607.0|0.12806598654221837|0.2270540696555705|['emotion', 'emotion_nrc']|||||||||
1|anger|disgust|75.0|2499.0|0.030012004801920768|0.05827505827505827|['emotion', 'emotion_nrc']|||||||||
2|anger|fear|150.0|3777.0|0.03971405877680699|0.07639419404125286|['emotion', 'emotion_nrc']|||||||||
3|anger|joy|160.0|6417.0|0.024933769674302633|0.04865440170290406|['emotion', 'emotion_nrc']|||||||||
4|anger|none|0.0|1546.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
5|anger|sadness|89.0|2196.0|0.04052823315118397|0.07789934354485777|['emotion', 'emotion_nrc']|||||||||
6|anger|surprise|26.0|2072.0|0.012548262548262547|0.02478551000953289|['emotion', 'emotion_nrc']|||||||||
7|disgust|anger|192.0|4220.0|0.04549763033175355|0.08703535811423391|['emotion', 'emotion_nrc']|||||||||
8|disgust|disgust|130.0|1659.0|0.07836045810729356|0.14533258803801005|['emotion', 'emotion_nrc']|||||||||
9|disgust|fear|67.0|3075.0|0.021788617886178863|0.0426479949077021|['emotion', 'emotion_nrc']|||||||||
10|disgust|joy|94.0|5698.0|0.016497016497016497|0.0324585635359116|['emotion', 'emotion_nrc']|||||||||
11|disgust|none|0.0|761.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
12|disgust|sadness|25.0|1475.0|0.01694915254237288|0.03333333333333333|['emotion', 'emotion_nrc']|||||||||
13|disgust|surprise|11.0|1302.0|0.008448540706605223|0.016755521706016754|['emotion', 'emotion_nrc']|||||||||
14|fear|anger|608.0|5851.0|0.10391386087848231|0.18826443721938382|['emotion', 'emotion_nrc']|||||||||
15|fear|disgust|153.0|3683.0|0.04154222101547651|0.07977059436913451|['emotion', 'emotion_nrc']|||||||||
16|fear|fear|808.0|4381.0|0.18443277790458798|0.31142802081325877|['emotion', 'emotion_nrc']|||||||||
17|fear|joy|362.0|7477.0|0.04841513976193661|0.09235871922439087|['emotion', 'emotion_nrc']|||||||||
18|fear|none|0.0|2808.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
19|fear|sadness|66.0|3481.0|0.018960068945705257|0.03721454750493375|['emotion', 'emotion_nrc']|||||||||
20|fear|surprise|53.0|3307.0|0.016026610220743878|0.031547619047619054|['emotion', 'emotion_nrc']|||||||||
21|joy|anger|1070.0|10800.0|0.09907407407407408|0.18028643639427128|['emotion', 'emotion_nrc']|||||||||
22|joy|disgust|364.0|8883.0|0.04097714736012608|0.07872823618470855|['emotion', 'emotion_nrc']|||||||||
23|joy|fear|647.0|9953.0|0.06500552597206873|0.12207547169811321|['emotion', 'emotion_nrc']|||||||||
24|joy|joy|2727.0|10523.0|0.25914663118882447|0.41162264150943395|['emotion', 'emotion_nrc']|||||||||
25|joy|none|0.0|8219.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
26|joy|sadness|207.0|8751.0|0.023654439492629412|0.046215673141326186|['emotion', 'emotion_nrc']|||||||||
27|joy|surprise|239.0|8532.0|0.02801218940459447|0.05449777676433703|['emotion', 'emotion_nrc']|||||||||
28|sadness|anger|741.0|6734.0|0.11003861003861004|0.19826086956521738|['emotion', 'emotion_nrc']|||||||||
29|sadness|disgust|180.0|4672.0|0.038527397260273974|0.0741962077493817|['emotion', 'emotion_nrc']|||||||||
30|sadness|fear|352.0|5853.0|0.06014009909448146|0.11345688960515714|['emotion', 'emotion_nrc']|||||||||
31|sadness|joy|718.0|8137.0|0.08823890868870592|0.16216826651609262|['emotion', 'emotion_nrc']|||||||||
32|sadness|none|0.0|3824.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
33|sadness|sadness|277.0|4286.0|0.06462902473168455|0.12141135218058295|['emotion', 'emotion_nrc']|||||||||
34|sadness|surprise|77.0|4299.0|0.017911142126075832|0.035191956124314444|['emotion', 'emotion_nrc']|||||||||
35|surprise|anger|450.0|7048.0|0.06384790011350738|0.12003200853560951|['emotion', 'emotion_nrc']|||||||||
36|surprise|disgust|126.0|4749.0|0.026531901452937462|0.05169230769230769|['emotion', 'emotion_nrc']|||||||||
37|surprise|fear|357.0|5871.0|0.060807358201328564|0.11464354527938342|['emotion', 'emotion_nrc']|||||||||
38|surprise|joy|970.0|7908.0|0.12266059686393525|0.2185176841630998|['emotion', 'emotion_nrc']|||||||||
39|surprise|none|0.0|3847.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
40|surprise|sadness|75.0|4511.0|0.016626025271558414|0.03270824247710423|['emotion', 'emotion_nrc']|||||||||
41|surprise|surprise|146.0|4253.0|0.03432870914648484|0.06637872243691749|['emotion', 'emotion_nrc']|||||||||
