index|emotion|nrc|emotion_i_nrc|emotion_u_nrc|emotion_nrc_jaccard|emotion_nrc_dice|variaveis|liwc|emotion_i_liwc|emotion_u_liwc|emotion_liwc_jaccard|emotion_liwc_dice|nrc_i_liwc|nrc_u_liwc|nrc_liwc_jaccard|nrc_liwc_dice
0|angry|anger|2320.0|9579.0|0.24219647144795908|0.3899487351878309|['emotion', 'emotion_nrc']|||||||||
1|angry|joy|658.0|14719.0|0.04470412392146206|0.08558236326981856|['emotion', 'emotion_nrc']|||||||||
2|angry|none|0.0|5954.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
3|angry|sadness|630.0|7798.0|0.0807899461400359|0.14950166112956811|['emotion', 'emotion_nrc']|||||||||
4|happy|anger|352.0|10262.0|0.03430130578834535|0.06632749199170905|['emotion', 'emotion_nrc']|||||||||
5|happy|joy|2022.0|12070.0|0.16752278376139187|0.28697133125177404|['emotion', 'emotion_nrc']|||||||||
6|happy|none|0.0|4669.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
7|happy|sadness|113.0|7030.0|0.016073968705547653|0.03163936721265575|['emotion', 'emotion_nrc']|||||||||
8|others|anger|1675.0|26233.0|0.06385087485228529|0.12003726530027232|['emotion', 'emotion_nrc']|||||||||
9|others|joy|5494.0|25892.0|0.21218909315618725|0.3500923978844071|['emotion', 'emotion_nrc']|||||||||
10|others|none|0.0|21963.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
11|others|sadness|739.0|23698.0|0.031184066165921176|0.06048205589884192|['emotion', 'emotion_nrc']|||||||||
12|sad|anger|1598.0|10185.0|0.15689739813451153|0.271238224560808|['emotion', 'emotion_nrc']|||||||||
13|sad|joy|1249.0|14012.0|0.08913788181558664|0.1636852106677151|['emotion', 'emotion_nrc']|||||||||
14|sad|none|0.0|5838.0|0.0|0.0|['emotion', 'emotion_nrc']|||||||||
15|sad|sadness|992.0|7320.0|0.1355191256830601|0.23869104908565927|['emotion', 'emotion_nrc']|||||||||
16|angry||||||['emotion', 'liwc']|negate|1874.0|11988.0|0.156322989656323|0.27037945462415236||||
17|angry||||||['emotion', 'liwc']|social|4608.0|28807.0|0.15996112056097475|0.27580427951518777||||
